epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,817.324,0.83565,2.23237,1.21163,0.59706,0.66798,0.66969,0.51295,0.89914,2.0387,1.31415,0.000410354,0.000410354,0.000410354
2,1570.33,0.924,1.50783,1.24518,0.66604,0.66304,0.68194,0.45402,1.19576,2.1586,1.78115,0.000791422,0.000791422,0.000791422
3,2285.22,0.94251,1.41481,1.25171,0.68113,0.68697,0.75057,0.50568,1.08118,2.12546,1.5688,0.00113662,0.00113662,0.00113662
4,2927.66,0.94259,1.30473,1.26115,0.68965,0.75591,0.77105,0.52894,1.00938,1.71384,1.40606,0.00108859,0.00108859,0.00108859
5,3537.53,0.93681,1.24944,1.25249,0.83247,0.74716,0.83832,0.57309,1.11633,1.65891,1.46436,0.00103478,0.00103478,0.00103478
6,4193.15,0.906,1.16263,1.23286,0.86964,0.77555,0.87564,0.63935,1.02921,1.1714,1.54391,0.000980978,0.000980978,0.000980978
7,4820.58,0.87927,1.08576,1.21421,0.80367,0.61857,0.80021,0.58967,1.02833,1.70415,1.45737,0.000927174,0.000927174,0.000927174
8,5626.51,0.89409,1.04137,1.22513,0.87457,0.7571,0.85732,0.60028,1.09012,1.20242,1.47592,0.00087337,0.00087337,0.00087337
9,6470.11,0.82942,0.97319,1.18852,0.79322,0.80675,0.86327,0.67152,0.84318,1.26058,1.24968,0.000819565,0.000819565,0.000819565
10,7347.49,0.84121,0.92009,1.18841,0.90419,0.81026,0.90474,0.68601,1.02077,0.95449,1.46995,0.000765761,0.000765761,0.000765761
11,8225.85,0.79688,0.86565,1.15371,0.90385,0.83941,0.91647,0.73081,0.82258,0.91569,1.21899,0.000711957,0.000711957,0.000711957
12,8914.72,0.77362,0.83594,1.15807,0.90799,0.88486,0.93036,0.73591,0.98589,0.76002,1.44001,0.000658152,0.000658152,0.000658152
13,9572.18,0.75615,0.78701,1.12572,0.93336,0.83753,0.9185,0.72352,0.97433,0.79273,1.39152,0.000604348,0.000604348,0.000604348
